Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.2457E-05,0.00029238,0.032631,0,0,0,0.55222,0.00088318,8.5071E-08,-2.1528E-07,0.00091817,-9.8095E-06,0.0012568,0,0,0,0,0,0,package://rocr6_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/base_link.STL,,BaseBracket-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-5.6107E-06,-0.0096745,0.055302,0,0,0,0.39053,0.00057949,8.1622E-08,1.1435E-08,0.00057332,3.7498E-05,0.000767,0,0,0,0,0,0,package://rocr6_description/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/link1.STL,,Link1-1,坐标系7,基准轴1,joint1,revolute,6.6537E-05,0.00042955,0.08205,0,0,0,base_link,0,0,1,150,3.2,-3.14,3.14,,,,,,,,
link2,1.7326E-13,-0.057367,0.13201,0,0,0,1.0634,0.0021253,3.6446E-13,1.6324E-07,0.0025003,5.4629E-15,0.0016353,0,0,0,0,0,0,package://rocr6_description/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/link2.STL,,Link2-1,坐标系2,基准轴2,joint2,revolute,0,-0.05775,0.06195,0,0,0,link1,0,-1,0,150,3.2,-3.14,3.14,,,,,,,,
link3,2.8296E-07,0.10648,-0.055036,0,0,0,0.60237,0.0010998,-9.029E-09,5.4949E-09,0.00083242,5.0826E-05,0.0011403,0,0,0,0,0,0,package://rocr6_description/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/link3.STL,,Link3-1,坐标系3,基准轴3,joint3,revolute,0,-0.00043165,0.264,1.5708,0,0,link2,0,0,1,150,3.2,-3.14,3.14,,,,,,,,
link4,2.8519E-07,-0.052441,0.0067616,0,0,0,0.17474,0.0002242,5.9814E-11,1.8015E-09,0.00021561,3.3297E-05,0.00027423,0,0,0,0,0,0,package://rocr6_description/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/link4.STL,,Link4-1,坐标系4,基准轴4,joint4,revolute,0,0.237,-0.015882,-1.5708,0,0,link3,0,1,0,80,1.5,-3.14,3.14,,,,,,,,
link5,-2.8519E-07,-0.0067616,0.052441,0,0,0,0.17474,0.0002242,1.8015E-09,5.9814E-11,0.00027423,3.3297E-05,0.00021561,0,0,0,0,0,0,package://rocr6_description/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocr6_description/meshes/link5.STL,,Link5-1,坐标系5,基准轴5,joint5,revolute,0,-0.0642,0.0498,0,0,0,link4,0,0,-1,80,1.5,-3.14,3.14,,,,,,,,
link6,-0.00040806,-0.026005,2.3021E-05,0,0,0,0.17591,9.4853E-05,1.8268E-07,-1.6342E-09,0.00015924,4.5335E-08,9.2958E-05,0,0,0,0,0,0,package://rocr6_description/meshes/link6.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://rocr6_description/meshes/link6.STL,,Link6-1,坐标系6,基准轴6,joint6,revolute,0,-0.0498,0.0642,0,0,0,link5,0,1,0,80,1.5,-3.14,3.14,,,,,,,,
